NELEVE	AAPPL	DSOLI	EENVI	MATER	MCFLU	MMCON	ALGPR	ANUME	SYSTE	AUTOM	M3SYS	PEIN1	RDMAT	TCMEC	TPMEC	COMM1	COEN1	EPSP1	LV1A1	LV2A1
28	10	10,6	10,93	9,75	8,34	7,5	17,5	10,17	9	8,89	8	16	8,53	14,93	15	9,5	13,88	18,5	11,95	14,12
29	18	10,3	9,46	9,77	9,2	13	13	13,33	9	13,06	9,25	15,75	8,32	14,67	15	11,5	14	18,5	12,85	12,4
30	9	5,6	8,18	9,77	10,32	9	8,83	12,17	10	12,67	9	15,75	10,75	14,27	15	11,5	10,75	16	11,97	13,47
31	16	8,4	12,09	9,8	10,93	6,5	11,67	13,83	8	12,89	10,75	16,75	7,25	12,5	15	10,5	9,5	16	12,2	12,65
32	10	16,5	11,63	9,82	10,93	3	5,67	9,5	8	11,11	8,12	16,5	13,31	16,1	15	14,5	11,5	16	9,97	12,9
33	12	6,6	8,15	9,84	11,21	7	14	5,33	9	14,33	11	16,75	11,5	12,77	15	11,75	13	17	12,28	12,32
34	8	6,7	10,31	9,86	10,93	7,5	9,5	10,5	9	9,06	13	16,25	9,6	13,83	15	12,25	11,25	15	12,61	11,87
35	5	7,5	7,99	9,95	10,3	12	16	10,33	9	12,78	10,75	14,5	11,09	14,1	15	11,5	6,75	15,5	11,22	8,34
36	18	9,4	14,23	10	11,61	10	12,33	10	8	10,94	6,5	16,5	9,4	12,93	15	10	9,25	16,5	11,72	8,61
37	17	7,2	8,65	10	12,25	9	8,67	7,17	4,9	12,67	7,5	13,5	6,21	13,6	15	13	10,62	18,5	10,95	10,47
38	8	7,5	7,38	10,05	8,11	12,5	12,67	8,33	9,45	11,5	8,5	14,5	6,74	9,77	15	7	9	15,5	7,6	6,55
39	5	12,9	9,85	10,05	9,68	8	12,17	7,5	9	13,17	8,5	15,75	10,01	11,5	15	11	9,25	14,5	12,3	9,74
40	11	6,3	12,3	10,05	12,91	4,5	8,17	7,17	10	14,39	9,75	15,75	9,93	13,43	15	12,5	9,5	16	13,4	11,18
41	8	5	11,66	10,11	10,32	3,5	8,33	7,33	10	16,22	7,5	15,75	8,78	18	15	15	12,25	15	11,28	12,69
42	8	8,7	8,84	10,18	10	10	8,33	9,83	12	11,67	9,25	15,5	4,56	12,97	14	14,5	14,75	18	11,75	13,2
43	15	4,8	13,84	10,18	11,29	6	15,5	11	12	14,11	7,75	16,5	9,68	13,37	15	14,25	13,38	16,5	16,1	15,2
44	5	16,8	12,82	10,23	11,11	4	11,17	14,17	8	9,67	11	15,75	12,07	14,6	15	10,5	8,25	16	12,85	12
45	12	14,4	12,83	10,27	11,18	9	10,33	7,67	10	12,78	14,25	16,25	9,28	13,33	15	12	12,75	17,5	11,4	10,78
46	7	10,4	11,76	10,36	11,65	13,5	11,83	5,17	9	7,22	11	13,5	8,1	16,93	15	12,5	8,45	13	9,93	9,64
47	11	10,9	9,71	10,36	11,3	5,5	10,33	9,83	7	14	8,75	17,25	11,18	14,67	15	12,5	12,88	17	12,89	12,18
48	8	6,7	10,35	10,39	9,27	6	11,75	5,67	8	9,39	9,25	15,75	10,51	12,6	15	11,25	11,5	18	12,94	14,9
49	11	2,1	9,15	10,39	9,27	5,5	11,5	7	9	12,17	12,25	14,5	8,29	11	14,5	12,5	12,75	16	13,95	14,38
50	10	15,3	10,3	10,41	9,77	8,5	13	8,5	9	12,17	12,5	15,75	11,66	12,83	15	12,5	12,75	15	12,8	13,5
51	11	4,8	7,69	10,41	9,39	5	14	10,33	8	16	8,5	15,5	7,54	14,7	15,5	13,5	11	17	13,57	12,88
52	8	3,2	8,46	10,45	9,92	8,5	9	7,33	9	11,61	8	15	7,95	17,17	15	14,25	9	17	13,3	12,82
53	14	13,9	12,04	10,5	12,87	8	15,5	9,33	11	14	8,5	16,25	8,45	15,1	15,5	14,5	10,75	18	13,78	13,62
54	14	6,9	14,07	10,55	12,23	8	10,5	9	8	14,72	8,25	15,75	13,22	14,5	14,5	12,5	11,75	15	10,78	13,53
55	5	9,7	8,73	10,55	13,05	7	8,83	7,67	11	6,39	12	15,75	7,5	16,7	15	13,25	13,88	15	11,65	12,03
56	11	16,5	13,39	10,55	13,41	4,5	8,5	11,33	9	11,39	11,25	16,5	11,16	13,17	15,5	13,25	13,12	17	13,15	12,62
57	10	3,6	11,46	10,57	10,25	9,5	10,33	11,67	11	14,31	10,5	16,5	7,09	14,33	15	14	14,12	16,5	11,76	11,77
58	9	9,4	10,8	10,61	11,95	8	9,83	10,67	8	14,25	10,25	16,5	9,76	13,17	14	11,25	12,25	0	12,2	13,18
59	12	4,1	8,75	10,68	12,35	13	7	10,83	9	6,39	7,75	14,25	5,89	10,77	15	7	12,5	17,5	9,38	7,58
60	11	3,6	10,9	10,68	11,25	8,5	11,5	10,5	8	12,17	13,25	15,25	10,39	12,1	15	9,5	13	17	13,32	11,9
61	5	2,95	8,14	10,73	8,07	8,25	6,5	10,17	9	8,83	11	14,25	8,78	13,33	15	11,25	9,25	12,5	13,28	12,32
62	9	9,7	14,23	10,73	11,2	5	11	7,33	4,9	10,67	13,25	15,75	11,25	12,17	15	11,5	12	19	12,64	8,61
63	9	7,5	8,89	10,73	11,52	4,5	6,17	12,33	7	12,06	9,5	14,75	12,49	15,43	14,5	10,5	10,5	18	13,38	12,03
64	8	6,3	9,74	10,73	10,22	3	14,33	2,67	4,9	12,61	9	10	8,85	13,77	14,5	11,5	11,12	16	14,57	11,46
65	14	9,7	12,47	10,8	11,2	10	10,33	10	10	12,61	8,75	17	10,09	13,43	15	14,5	11,62	15,5	13,2	13,74
66	18	8,1	10,25	10,8	11,09	1,5	13,67	13,83	7	11,22	11,5	16	7,38	9,43	15,5	8,25	13,25	14,5	13,1	12,62
67	7	6,3	10,66	10,82	10,39	10,5	12	8,5	9	10,33	11,25	14,5	11,34	14,3	15	13,5	12,5	16,5	15,45	15,15
68	7	15,6	10,65	10,82	12,9	9,5	11,5	11,17	12	13,11	10,5	15,5	11,75	15,37	15,5	14	13,25	17	12,64	13,6
69	13	13	13,11	10,86	10,38	10	10	9,67	4,9	10,94	9,25	15,75	7,05	13,77	15	12,25	12,38	16,5	12,7	13,39
70	11	5,6	8,98	10,86	10,24	7,5	11,5	7	8	13,39	9	16	12,99	15,67	15	8,5	8,75	16,5	11,62	11,6
71	5	4,1	7,5	10,86	10,75	2,5	6	6,5	11	11,28	11	16,5	9,44	15	15,5	10	10,75	15	14,75	11,9
72	7	9,1	7,32	10,89	9,93	6	11	10,67	10	5,78	9	14,5	10,35	13,93	15	9,5	14,25	16	13,15	10,91
73	17	13,4	10,19	10,91	13,57	7,5	8,83	9,83	10	14,44	14,25	15	11,38	12,97	14	12	10,5	17,5	11,95	12,85
74	11	11,9	10,3	10,91	13,66	7	10,5	12,5	4,9	10,61	14	16,5	15,88	13	14	14	12,38	14	12,49	12,07
75	13	5,7	11,62	10,95	11,89	7,5	9,5	9,83	10	10,89	10,25	15,5	7,62	11,33	15	10	9,5	16,5	11,25	10,8
76	7	9	13,94	10,95	11,17	6	9,33	11	10	16,44	13,75	15,5	7,7	15,43	16	13	11,5	17,5	12,45	13,95
77	9	7,8	10,44	11	9,66	11	9,5	11	8	13,28	10,38	16,5	12,82	10,27	14,5	13,5	16,25	15	12,63	13,99
78	11	18,3	10,75	11	10,55	10	7,83	10,17	10	13,56	7,5	15,75	10,84	13,93	14	13	13	17	12,78	14,32
79	11	10,9	11,74	11	11,28	4	7,33	5,33	9	12,89	15,5	16,5	7,79	13,5	15,5	11	12,75	18	13,9	12,03
80	6	11,4	11,72	11,05	12,48	0	8,67	10,5	11	8	9,5	14,5	10,1	14,53	15	14,25	9,38	15,5	12,97	15,07
81	12	9,6	11,54	11,09	11,41	9,5	13,83	13,5	9	15,72	9,25	15,75	7,7	14,33	15	11,25	9,25	16,5	13,43	14,45
82	11	10,9	13,14	11,09	12,91	9,5	16,33	10,83	11	12,78	15,25	16,75	7,79	17,67	14,5	12	12,88	18	13,75	13,55
83	9	4,2	9,99	11,09	10	7,5	13,5	6,67	11	13,78	11,75	15,25	9,11	12,33	15	12	12	18	12,75	11,03
84	9	3	9,14	11,11	9,11	7	13,67	4,33	9	14,89	12	16	8,2	12,93	15,5	11,5	8,75	18	13,55	11,95
85	6	3,6	8,62	11,14	11,71	12,5	6,17	10,67	10	15,39	11,25	16,5	8,36	16,1	15	11,5	13,88	18,5	11,75	12,53
86	12	5	10,45	11,14	7,43	10	10,67	4,67	9	10,5	9	11	7,33	14,47	15	11,5	9,12	14	12,07	13
87	14	11,6	12,36	11,14	12,16	9	15,67	13,83	11	13,33	10,75	14,5	10,84	17,17	15	12,5	12,75	19	10,45	13,51
88	6	9,3	13,9	11,14	11,84	4,5	9,22	9,83	11	13,28	13,5	15,75	9,56	13,6	14	12,5	11,5	16	12,03	12,89
89	14	5,6	8,48	11,14	10,66	1	8,33	5,17	10	11,56	10	16	13,31	15,33	15	10,5	10,38	16	11	13,07
90	9	13,1	13,38	11,18	12,43	12,5	13,5	11	10	15,17	13,25	16	9,36	16,27	15	12,5	10,12	17	11,88	12,47
91	17	5,1	10,41	11,18	11,09	8	13,83	10,83	10	16,39	12	16,75	11,5	12,67	15	12,5	11,75	17	11,62	12,88
92	14	16,5	12,99	11,18	12,27	8	15,33	11	11	15,56	11	14,5	9,69	15,33	15	13	15,25	18	13,85	14,4
93	6	7,5	10,89	11,23	12,88	7	4,67	10,33	10	9,92	7,75	15,5	9,6	13	15	13	14,12	18	13,9	10,57
94	10	5,8	13,4	11,23	10,84	5,5	6,5	11,67	8	12,58	9,5	15,5	10,01	14,1	15	12,5	12,5	17,5	10,41	10,58
95	9	6,3	7,14	11,23	11,25	2,5	8,33	9	7	11,53	11,5	16,5	6,19	15,27	15	8	6,25	16	8,4	8,35
96	9	10,3	11,47	11,27	11,52	8	10,33	9,17	12	13	11,5	15,5	11,82	15	15	13,5	13,5	17,5	12,7	12,05
97	13	5,1	12,77	11,32	11,77	11,5	9,67	6,83	10	11,78	13,5	17,25	9,75	14,33	15	10,25	13	14	10,05	11,97
98	9	3	11,22	11,32	10,73	2	10,33	17	12	13,5	13,5	16,5	13,14	13,33	15	12,5	12	17	12,47	15,86
99	9	3,9	12,88	11,32	9,95	2	7	9,33	10	9,08	11,75	14,75	7,12	16,6	15	12,75	11,5	0	13,99	12,03
100	13	9,3	9,32	11,34	11,07	5,5	7,67	12,33	9	13,75	12	16,5	12,45	15,93	15	12,5	8,75	17,5	12,32	12,45
101	12	7,5	11,14	11,36	12,88	11	13	7,83	8	12,17	12	15,75	11,79	11,6	14,5	14	13	17,5	13,28	12,38
102	14	12,9	12,71	11,36	11,3	6	11	11,17	8	13,28	10	15,75	9,31	14	14,5	14	13,75	18,5	13,93	13,38
103	9	3,6	13,14	11,41	11,2	8,5	10,67	8,83	10	13,11	13,25	16,25	10,68	16,17	15	12,5	15	14,5	12,43	13,12
104	7	8,5	9,01	11,41	11,82	5,5	12,17	6	8	11,11	7,5	15,75	13,97	13,93	15	12	10,62	17	11,68	13,95
105	13	13,4	9,17	11,45	11,65	13	8,33	6	11	10,67	10,5	16,25	5,56	13,6	16,5	14	11	17,5	11,03	12,37
106	8	4,5	8,65	11,45	10,84	12	7,83	11,83	9	12,89	14,5	15,5	9,19	13,67	15	12,5	11,5	17,5	10,25	9,62
107	12	10,5	10,35	11,45	10,62	7	14	11,17	10	13,72	9,5	16,25	12,82	15,67	15	12	14,25	17	11,4	13,09
108	5	4,1	8,21	11,45	10,8	6	11,33	9,67	4,9	15,39	7	11	10,59	14,1	15	11,25	9,25	18	17	11,3
109	14	8,1	9,51	11,5	10,75	7,5	16,33	12,17	11	13,44	6,75	14,75	10,59	11,6	15	11,75	10,62	12	14,1	12,78
110	7	6,3	6,95	11,5	9,41	7	9,83	7,83	7	13	7,75	13,5	10,18	12,5	15	11,5	10,75	18,5	14,62	12,5
111	16	7,8	13,31	11,55	13,27	11,5	15,67	13	9	14,56	10,25	14,5	10,26	17,1	15	15	15,88	16,5	11,5	10,94
112	12	7,5	13,43	11,57	13,22	7,5	8,67	8,67	10	14,5	8,25	14,5	12,24	15	15	12	13	16,5	13,05	13,95
113	9	12,2	10,15	11,59	13,82	8,5	15,33	7,5	11	18	12,75	15,75	8,25	13,93	15	13,25	12,75	14	13,8	12,18
114	10	12,3	12,65	11,59	12,84	8	15,83	8,67	10	13,36	11,5	15,75	11,41	14,93	15	11,5	11,5	17	13,5	12,82
115	14	9	11,17	11,61	12,48	4	11,33	10,67	8	12,31	9,75	17	9,26	14,1	15	10,5	14,38	17	12,97	10,05
116	13	6	13,78	11,64	11,45	14	12,42	8,33	8	11,89	12,75	15,75	12,16	13,17	14,5	14	12,25	18	12,84	9,96
117	9	11,1	10,48	11,64	11,48	4,5	9,17	5,83	7	11,78	12,5	16	14,89	15,1	15	11	12	17,5	10,2	12,25
118	8	10,25	13,1	11,64	11,57	4	6,83	12,33	9	13,67	12	16	6,05	13,77	15	10,5	12,75	0	11,4	10,16
119	10	7,1	10,83	11,68	11,23	9,5	9,33	9,67	13	10,5	11,5	15,75	10,39	15,17	15,5	13,5	13	0	14,38	12,88
120	7	5,7	10,96	11,68	10,84	6	11	8,33	12	12,11	12,25	15,75	8,78	14,67	15	12,5	13,88	18	13,6	11,47
121	7	9,4	12,51	11,68	9,43	6	12	4,33	12	9,61	6	16,5	7,7	16,17	15	14,5	11,75	18,5	12,95	12,7
122	7	9,1	9,72	11,68	11,43	4	11,83	7,83	11	14,56	10,75	14,25	9,6	13,9	15	9,75	9,38	17	14,15	13,88
123	12	7,9	9,14	11,73	12,36	16,5	15,83	10,33	10	13,06	12	15,5	6,96	15,2	15	12,25	10,25	17,5	14,8	13,75
124	16	17,4	12,29	11,73	11,38	8	7,83	8,67	9	13,42	9	16	11,66	16,43	15	12,5	12,75	16,5	12,95	14,2
125	10	9,3	11,07	11,73	11,38	7,5	10,83	6,5	9	13,83	14,25	17	9,69	12,93	15	13	12,62	16,5	12,82	11,05
126	9	16,8	8,74	11,73	10,77	6	11,42	9,5	10	11,22	13	15,75	12,82	13,67	15	12	12,75	18	11,71	12,97
127	12	12,6	11,11	11,75	13,05	5	12,17	8,67	11	15,67	7,75	15,25	11,59	14,33	15,5	12,5	13	16	13,3	11,88
128	12	8,6	9,9	11,77	7,93	13,5	14,67	10,5	10	8,22	12,5	16,25	10,59	14,1	15	11,75	8,38	17,5	12,81	11,19
129	7	15,8	10,72	11,82	8,86	14	12	7,5	7	13,61	15	16	9,85	15,67	15	10,5	7,5	16	11,38	12,76
130	16	6,9	12,95	11,82	10,37	8,5	4,17	2	7	12,5	7,5	14,75	7,78	16,1	14,5	12	11,5	17	14,24	9,53
131	7	9,3	11,47	11,82	13,36	7,5	9,42	10	9	11,78	14,25	15,75	8,53	10	14	13,25	10,25	14	13,64	11,76
132	11	6,6	10,86	11,82	12,7	2,5	15,08	13,83	12	15,56	8,75	16,5	13,97	16,33	15	11,75	14,5	15	13,62	12,47
133	10	6,6	8,62	11,86	11,59	8,5	11,83	7,17	10	11,53	9,25	15,75	8,44	16,33	15	10,5	13,75	15,5	13,65	11,68
134	18	10,7	10,97	11,86	9,52	8	12,33	9,83	9	13,08	11,5	14,5	7,29	14,83	15	12	12,62	14	12,56	11,27
135	9	11,7	8,47	11,86	9,59	6	11,67	15,5	9	13,11	8,5	16,5	10,14	16	15	14	13	16	14,25	13,5
136	9	10	9,41	11,86	8,14	6	11,17	7,33	10	14,28	12,75	15	6,38	16,27	15	12,5	14,75	17,5	12,2	13,62
137	11	9,8	10,74	11,86	12,16	5	13	8,83	11	11,31	9,25	15	9,76	13,93	15	11,25	12,75	17	14,03	13,25
138	9	9,8	9,82	11,86	11,93	4,5	10,83	10,33	9	11,67	9,5	14,75	11,71	15,5	15	12,75	8,25	16,5	15,9	12,43
139	9	9,4	13,32	11,86	10,48	3	11,17	9,67	8	13,39	11	16,5	12,82	14,93	15	12,5	8,25	16	13,93	12,93
140	9	6,7	13,75	11,86	12,78	2	9,33	7,83	9	13,75	14	14,75	10,09	14,17	15	11,25	9,5	16	13,72	12,81
141	17	18,7	11,81	11,95	11,91	17,5	14,75	12	10	14,11	17	16,25	14,96	15	15	12	13	15	12,25	10,62
142	10	6,9	10,54	11,95	9,89	8	11,67	8,17	9	11,28	9,75	15,75	7,34	14,77	15	14	12	15,5	12,88	13,3
143	14	19,2	14,4	11,95	10,23	6,5	13,67	8,33	9	8,89	14,25	15,75	12,07	16,27	15	11	9,88	17,5	13,85	9,68
144	13	9,6	11,65	11,95	12,64	5	8,75	9,83	9	13,33	12,25	15,75	6,64	13,27	14,5	11,75	12	18	12,63	11,66
145	9	12,1	12,86	11,95	10,66	1	15,08	11,33	11	15,78	18	16,25	6,8	16,17	15	11	12	18	12,12	11,71
146	7	9,1	11,1	12	10,82	6	12	8,33	8	12,56	11,5	14,75	11,25	13,5	15,5	10,5	10,38	17	11,5	9,82
147	6	6,6	6,19	12,05	8,5	10,5	13	4,5	8	10,83	0,5	13,5	7,54	14,4	15	9	11,25	13,5	14,05	11,72
148	17	14,4	14,57	12,05	15,48	7,5	14,5	11,83	12	15,44	15	16	12,41	15,5	15	13,5	15	15	13,95	16,5
149	9	8,1	9,04	12,05	13,8	7	10,83	11,83	9	13,08	15,5	16,25	14,47	12,6	15	16	14,12	16,5	15,15	15,45
150	18	11,6	12,26	12,14	14,2	11	13,33	11,83	11	10,39	15,5	10	12,9	14,27	15	11,75	13,12	13	12,4	11,97
151	11	14,4	15,84	12,14	13,68	7	12,33	15,83	4,9	13,78	14	14,75	14,3	13,1	15,5	11	14	16	10	11,2
152	11	16,6	12,94	12,14	11,45	6,5	12,83	10,33	7	14,72	11,25	16,5	10,84	14,17	15,5	13,5	12,25	16	13,62	10,45
153	8	5,4	8,13	12,14	10,21	5,5	12,17	8,17	10	10,72	13,5	14,25	9,35	12,3	15	12,75	12,5	17,5	14,62	13,07
154	8	10,8	10,77	12,14	10,8	2	9	9,5	4,9	12,78	12,25	16	11,38	15,5	15	12,5	12,5	15	12,45	10,65
155	9	15,3	12,25	12,18	11,68	10	14,33	11,33	10	8,39	10,5	15,25	8,45	14,17	15	11,75	10,25	16	13,85	13,2
156	10	11,9	10,88	12,18	11,75	9,5	10,83	10,33	8	17,11	10,5	15,5	13,85	15,93	15	13,5	12,62	16	11,9	15,05
157	14	7,6	11,44	12,18	14,02	2	17,33	11,67	10	13,61	9,5	16,5	12,95	15,83	15	13	11	15	10,9	10,12
158	11	11,5	11,28	12,23	13,57	12,5	12,33	9,83	10	12,33	11,25	14,75	15,62	12,37	15	14	11,25	18,5	13,07	13,52
159	9	11,4	14,46	12,23	11,02	7	8,17	9,17	10	14,81	8	16	12,16	13,43	15	9,5	10	18,5	11,95	12,2
160	10	14,1	14,86	12,27	10,59	6	13,33	10,33	10	13,67	11,5	14,25	6,26	16,67	15	12	14,12	16,5	12,72	13,2
161	9	9	7,56	12,32	9,38	4	7,33	9,5	10	10,56	8,75	15,5	3,9	15,33	14	6	10,12	18	12,6	12,15
162	7	13,8	9,34	12,35	10,14	6,5	11,17	10,83	8	10,5	13,5	17,25	5,6	15,5	15	14	9,75	18	13,49	12,65
163	13	9,1	12,28	12,36	10,39	7	6,67	11,83	9	12,78	9,5	16,25	11,5	11	15	13,5	13,62	17,5	13,78	12,9
164	16	14,7	12,37	12,39	12,55	12	15,67	12,5	11	12,17	12	16,75	11,5	17,1	15	11,5	14,5	17	13,88	13,5
165	12	11,2	12,79	12,41	9,82	7	10,5	13	12	13,61	9,25	15,75	10,09	16,03	15	13	15,25	19	13,1	13,34
166	8	12,2	11,46	12,41	10,45	6,5	8	8,33	10	11,11	14,25	15,75	8,69	17,03	15	10,5	10,12	16,5	11,97	12,38
167	9	12,8	11,51	12,45	12,52	13	12	9,83	11	16,11	12,75	15,75	13,28	16,77	15	16	12,5	16	12,65	13,7
168	11	6,9	10,12	12,45	12,09	10	13	7,33	13	9,72	8,75	14,5	7,62	13,77	15	11,5	12	17,5	14,47	13,97
169	9	6,3	13,7	12,45	11,39	7,5	16	6,5	8	9,22	12,25	15,75	8,28	14,17	15	12	12,5	17,5	16,02	14,7
170	13	6,5	10,88	12,45	11,39	6	15,67	5,33	11	14,83	8	16,75	8,36	13,77	15	13	10,5	16	12,2	11,65
171	14	5,6	11,07	12,47	13,36	2	7,33	9,67	8	15,86	13,5	16,25	8,61	13,6	15	13,5	13,38	16	13,55	13,6
172	7	8,4	8,61	12,5	9,37	5	6,5	7,17	9	11	8	15,75	14,64	18,83	15,5	14,5	15	17,5	11,21	9,52
173	15	8,3	10,58	12,52	10,32	13	12,33	10	9	14,83	8,5	15,25	12,74	17,5	15	11,75	10,88	18	13	13,12
174	11	8,1	11,83	12,55	14,16	6	13,5	12,67	9	12,33	11	16,5	12,7	16,83	15	9,5	11,75	17	12,82	10,61
175	8	18,3	11,63	12,59	16,57	10,5	12,17	10	11	13,89	15,25	16	13,15	16,43	15	12,5	10,5	16	12,85	15,57
176	9	7,3	11,98	12,59	12,02	5,5	12,33	7,83	8	12,89	12,5	16	10,18	13,5	15	10	12,25	13	10,85	11,53
177	9	13,2	10,52	12,59	12,41	4,5	8	9,33	4,9	13,5	14	16,5	9,28	12,93	14,5	12	14	18	12,47	13,88
178	15	15,3	13,56	12,59	12,14	2,5	15,5	12,83	9	13,5	14,25	16,25	8,7	13,27	13,5	13,5	14,88	15	9,59	12,97
179	8	3,9	11,11	12,64	9,41	8,5	7,67	8,83	7	9,89	6,75	16,5	13,97	13	14,5	11,5	12	18	12,62	12,8
180	15	7,8	12,24	12,64	12,2	6,5	13,17	12,33	10	11,06	13,25	15,5	12,24	12,43	15	9,5	13	19	14,05	12,7
181	11	5,1	8,26	12,64	9,02	5,5	13	9,17	9	9	4,75	14,75	9,85	12,07	15	14	13,25	16	12,12	14,4
182	5	8	14,97	12,64	10,77	4	8,17	6,5	8	17,11	11	15,75	8,69	14,5	15	11	12,62	17	13,75	12,18
183	15	11,9	13,1	12,64	12,08	2,5	12,83	7,5	12	16,06	9,75	15,75	12,57	14,6	15	14,25	13,25	15,5	13,75	14,4
184	12	11,2	16,67	12,68	15,8	12	13,17	10,17	12	13,83	13	15	13,07	17,17	15	11,75	12,12	13,5	13,88	12,57
185	15	11,9	15,87	12,68	12,52	7	12,33	11,33	9	10,78	9,5	15,75	13,28	14,5	15	11	14	15	12,35	12,1
186	5	3,9	9,59	12,68	10,73	1,5	6,83	10,5	10	13,17	9,25	16	8,53	15,1	15	12,5	11,62	16	14,12	11,62
187	9	4,6	11,44	12,68	12,18	0	8,17	12,83	8	12,17	9,5	13,5	11,09	13,77	15	11,5	11,75	17,5	12,12	11,79
188	5	11,1	13,67	12,7	11,68	5	14	12,83	8	14,72	7	15,75	10,8	16,43	15	12,5	13	17,5	15,15	12,57
189	11	12,6	8,7	12,73	12,05	4,5	14	10	10	9,22	11,5	15,75	9,1	11,23	15,5	13	14,25	17	14,43	14,15
190	16	7,5	9,94	12,77	11,68	11,5	13,33	11,17	11	15,56	8,5	16,75	8,53	16,1	15,5	12,5	14,38	18	12,8	11,12
191	6	9,9	13,25	12,77	11,29	9	13,83	11,33	10	12,17	10,75	16,5	7,61	14,53	15	13	10,25	15	12,68	12,05
192	10	9,4	11,8	12,77	11,73	7,5	13	8	9	7,78	12,5	14,5	12,2	14,77	15	11,75	14,75	19	13,12	15,03
193	6	6,2	9,87	12,82	12,37	15,5	9,5	7,17	9	11,89	12,25	16,5	14,39	12,47	15	12,5	10,75	17,5	13,88	13,35
194	10	12,6	13,51	12,82	12,2	10,5	11	11	9	12,33	12,25	15,75	11,05	14,6	15	14	11,75	16	14,75	12,65
